"Relative Time","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","2.282"
"00:08","","","2.088"
"00:16","","","2.147"
"00:32","","","2.148"
"00:40","","","2.083"
"00:48","","","2.143"
"00:56","","","2.129"
"01:12","2.325","","2.202"
"01:20","2.399","","2.15"
"01:28","","","2.215"
"01:36","2.378","",""
"01:44","2.348","",""
"01:52","2.351","",""
"02:00","2.387","",""
"02:16","2.389","",""
"02:24","2.349","",""
"02:32","3.288","",""
"02:40","3.303","",""
"02:48","4.07","",""
"02:56","4.103","",""
"03:04","4.232","",""
"03:20","4.213","",""
"03:28","4.265","",""
"03:36","4.075","",""
"03:44","4.12","",""
"03:52","4.25","",""
"04:16","5.08","",""
"04:24","4.272","",""
"04:32","4.182","",""
"04:40","4.015","",""
"04:48","4.205","",""
"04:56","4.256","3.176",""
"05:04","","0.996",""
"05:28","4.214","",""
"05:36","4.331","",""
"05:44","","0.984",""
"05:52","4.213","0.981",""
"06:00","4.195","0.983",""
"06:08","","3.282",""
"06:16","","0.983",""
"06:56","4.101","",""
"07:04","4.068","",""
"07:12","4.089","0.919",""
"07:20","","0.917",""
