"Relative Time","Hits"
"00:00","1.875"
"00:08","68.625"
"00:16","56"
"00:24","39.625"
"00:32","34.375"
"00:40","37.125"
"00:48","31.875"
"00:56","29.125"
"01:04","34.625"
"01:12","34.375"
"01:20","42.375"
"01:28","32"
"01:36","68.75"
"01:44","108.375"
"01:52","29.625"
"02:00","29"
"02:08","29.625"
"02:16","49.875"
"02:24","32.25"
"02:32","108.375"
"02:40","133.25"
"02:48","35.5"
"02:56","47.375"
"03:04","32"
"03:12","26.125"
"03:20","23.25"
"03:28","23.25"
"03:36","48.625"
"03:44","55.625"
"03:52","12.25"
"04:00","11.875"
"04:08","8.875"
"04:16","5.875"
"04:24","5.75"
"04:32","11"
