"Relative Time","Hits"
"00:00","5.875"
"00:08","2.875"
"00:16","6"
"00:24","6"
"00:32","8.875"
"00:40","44.75"
"00:48","49.75"
"00:56","14.75"
"01:04","15"
"01:12","18.625"
"01:20","17.5"
"01:28","17.5"
"01:36","24.25"
"01:44","59.875"
"01:52","75.75"
"02:00","40.5"
"02:08","14.875"
"02:16","28.25"
"02:24","37.25"
"02:32","26.125"
"02:40","27.375"
"02:48","30.625"
"02:56","37.25"
"03:04","36.75"
"03:12","34.75"
"03:20","35.875"
"03:28","31.375"
"03:36","32"
"03:44","91"
"03:52","108.125"
"04:00","122.125"
"04:08","102.5"
"04:16","24.75"
"04:24","28.5"
"04:32","30"
"04:40","49.625"
"04:48","33.875"
"04:56","26.125"
"05:04","26.875"
"05:12","40.875"
"05:20","39.5"
"05:28","26.125"
"05:36","23.625"
"05:44","28.625"
"05:52","36.5"
"06:00","20.25"
"06:08","17.625"
"06:16","20.375"
"06:24","22.25"
"06:32","14.625"
"06:40","11.5"
"06:48","28.625"
"06:56","28.875"
"07:04","8.75"
"07:12","8.5"
"07:20","3"
"07:28","5.625"
"07:36","0"
