"Relative Time","Throughput"
"00:00","77097.88"
"00:08","36545.38"
"00:16","104256.4"
"00:24","47578.88"
"00:32","154979.1"
"00:40","301624"
"00:48","722509.3"
"00:56","438907.6"
"01:04","208777.3"
"01:12","232995.3"
"01:20","185652.3"
"01:28","281770.5"
"01:36","332905.6"
"01:44","404276"
"01:52","1160609"
"02:00","678319.6"
"02:08","284901.1"
"02:16","423840.3"
"02:24","394929.3"
"02:32","350642.8"
"02:40","428794.6"
"02:48","444881.3"
"02:56","409845.3"
"03:04","509754.9"
"03:12","520441.5"
"03:20","381032.4"
"03:28","439837.5"
"03:36","433902.3"
"03:44","825911.9"
"03:52","1363402"
"04:00","1369046"
"04:08","1442196"
"04:16","682519.5"
"04:24","946595.3"
"04:32","212714.1"
"04:40","552733.9"
"04:48","406629.6"
"04:56","464816.9"
"05:04","310851.5"
"05:12","548059.3"
"05:20","433132.4"
"05:28","463786.8"
"05:36","235762.6"
"05:44","488560"
"05:52","329606.3"
"06:00","312979.3"
"06:08","246506.3"
"06:16","360192"
"06:24","127901.4"
"06:32","240174.5"
"06:40","148570"
"06:48","303941.4"
"06:56","533077.3"
"07:04","81845.38"
"07:12","116704.4"
"07:20","27804.25"
"07:28","52533"
"07:36","0"
