"Relative Time","cart_Transaction","category_selection_Transaction","checkout_Transaction","Login_Transaction","order_Transaction","product_selection_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","0.263","0.127","0.139","0.527","0.389","0.132","","0.791"
"00:08","0.696","0.361","0.347","5.487","1.515","0.358","",""
"00:16","0.689","0.348","0.467","2.026","1.506","0.352","","2.661"
"00:24","0.686","0.348","0.356","3.154","1.518","0.445","",""
"00:32","0.7","0.409","0.403","2.327","1.627","0.351","","2.563"
"00:40","0.315","0.148","0.162","0.841","0.691","0.162","","0.387"
"00:48","0.252","0.127","0.133","0.616","0.388","0.126","",""
"00:56","0.594","0.332","0.222","2.938","0.721","0.279","",""
"01:04","0.687","0.347","0.383","2.781","1.558","0.411","","2.768"
"01:12","0.686","0.393","0.35","2.833","1.51","0.348","","2.763"
"01:20","0.679","0.453","0.381","3.166","1.558","0.344","",""
"01:28","0.698","0.386","0.351","5.478","1.497","0.35","","2.733"
"01:36","0.714","0.345","0.398","3.146","1.536","0.349","",""
"01:44","0.579","0.311","0.311","1.755","1.303","0.285","","2.691"
"01:52","0.269","0.137","0.137","0.617","0.511","0.135","",""
"02:00","0.252","0.128","0.129","0.81","0.411","0.142","","0.432"
"02:08","0.749","0.354","0.349","3.547","1.628","0.353","",""
"02:16","0.57","0.312","0.346","7.547","1.13","0.287","","2.71"
"02:24","0.688","0.344","0.346","3.312","1.565","0.348","",""
"02:32","0.729","0.354","0.356","3.115","1.549","0.351","",""
"02:40","0.714","0.384","0.348","5.914","1.538","0.361","",""
"02:48","0.719","0.36","0.352","3.199","1.528","0.352","",""
"02:56","0.713","0.352","0.387","3.266","1.532","0.349","",""
"03:04","0.708","0.367","0.349","3.116","1.521","0.421","",""
"03:12","0.688","0.37","0.379","3.166","1.52","0.351","",""
"03:20","0.692","0.373","0.376","3.161","1.543","0.357","",""
"03:28","0.679","0.418","0.41","3.212","1.502","0.347","",""
"03:36","0.689","0.367","0.349","4.831","1.512","0.351","",""
"03:44","0.439","0.271","0.238","1.7","1.094","0.229","",""
"03:52","0.263","0.129","0.134","0.604","0.435","0.128","",""
"04:00","0.252","0.128","0.125","0.57","0.407","0.131","",""
"04:08","0.258","0.126","0.128","0.559","0.386","0.127","",""
"04:16","0.25","0.153","0.128","4.729","0.454","0.125","",""
"04:24","0.246","0.24","0.125","6.019","0.421","0.146","",""
"04:32","0.698","0.376","0.348","3.115","1.507","0.365","",""
"04:40","0.683","0.352","0.356","3.275","1.525","0.344","",""
"04:48","0.705","0.347","0.343","3.096","1.492","0.344","",""
"04:56","0.737","0.366","0.347","3.135","1.527","0.351","",""
"05:04","0.69","0.364","0.351","4.659","1.539","0.347","",""
"05:12","0.68","0.344","0.346","3.102","1.503","0.35","0.338",""
"05:20","0.687","0.349","0.347","3.084","1.517","0.348","",""
"05:28","0.688","0.37","0.348","3.079","1.497","0.413","0.342",""
"05:36","0.691","0.351","0.362","3.195","1.503","0.349","",""
"05:44","0.682","0.371","0.345","3.25","1.504","0.532","",""
"05:52","0.681","0.345","0.35","3.094","1.5","0.351","0.342",""
"06:00","0.782","0.352","0.355","3.197","1.71","0.351","0.343",""
"06:08","0.69","0.347","0.348","3.333","1.559","0.346","",""
"06:16","0.688","0.35","0.349","3.29","1.503","0.348","0.353",""
"06:24","0.685","0.347","0.349","3.667","1.531","0.345","",""
"06:32","0.696","0.35","0.351","3.103","1.573","0.349","0.353",""
"06:40","0.683","0.352","0.346","3.29","1.488","0.346","",""
"06:48","0.401","0.226","0.208","2.01","0.874","0.205","0.348",""
"06:56","0.243","0.126","0.154","1.019","0.378","0.123","",""
"07:04","0.675","0.342","0.348","3.556","1.49","0.349","0.345",""
"07:12","0.685","0.537","0.344","3.36","1.483","0.525","",""
"07:20","0.691","0.43","0.347","3.405","1.522","0.349","0.344",""
"07:28","0.684","0.342","0.347","3.735","1.465","0.335","",""
"07:36","","","","","","","0.335",""
